SAMPLEID,CORAL_NUM,GENOTYPE,TREATMENT,VOLUME(ML),BP(G),BP+DR(G),DTB(G),BP+BR(G),AFDW
U_101,101,U,Coral_Dom,1,0.797,0.8477,0.0507,0.8307,0.017
U_101_a,101,U,Coral_Dom,1,0.9706,1.0187,0.0481,1.0061,0.0126
U_101_b,101,U,Coral_Dom,1,0.9625,1.01,0.0475,0.999,0.011
I_102,102,I,Control,1,0.9636,0.9957,0.0321,0.9871,0.0086
I_102_a,102,I,Control,1,0.9676,0.9969,0.0293,0.9892,0.0077
I_102_b,102,I,Control,1,0.9752,1.0048,0.0296,0.9966,0.0082
G_104,104,G,Control,1,0.7922,0.8247,0.0325,0.8163,0.0084
G_104_a,104,G,Control,1,0.9701,0.9872,0.0171,0.9832,0.004
G_104_b,104,G,Control,1,0.9979,1.0147,0.0168,1.0108,0.0039
D_106,106,D,Control,1,0.7987,0.8248,0.0261,0.8198,0.005
D_106_a,106,D,Control,1,0.971,0.9957,0.0247,0.9915,0.0042
D_106_b,106,D,Control,1,0.9714,0.9967,0.0253,0.9919,0.0048
F_108,108,F,Rubble_Dom,1,0.7919,0.8196,0.0277,0.8125,0.0071
F_108_a,108,F,Rubble_Dom,1,0.9741,1.0008,0.0267,0.9969,0.0039
F_108_b,108,F,Rubble_Dom,1,0.9719,0.9994,0.0275,0.995,0.0044
A_111,111,A,Rubble_Dom,1,0.8005,0.8382,0.0377,0.8282,0.01
A_111_a,111,A,Rubble_Dom,1,0.9744,0.9932,0.0188,0.9889,0.0043
A_111_b,111,A,Rubble_Dom,1,0.9623,0.9824,0.0201,0.9771,0.0053
C_113,113,C,Rubble_Dom,1,0.7995,0.8472,0.0477,0.8353,0.0119
C_113_a,113,C,Rubble_Dom,1,0.9663,1.0131,0.0468,1.0016,0.0115
C_113_b,113,C,Rubble_Dom,1,0.9689,1.0173,0.0484,1.0051,0.0122
S_114,114,S,Algae_Dom,1,0.9711,1.0012,0.0301,0.9946,0.0066
S_144_a,114,S,Algae_Dom,1,0.9622,0.9932,0.031,0.9853,0.0079
S_114_b,114,S,Algae_Dom,1,0.9672,0.9969,0.0297,0.9897,0.0072
W_115,115,W,Coral_Dom,1,0.7984,0.8324,0.034,0.8238,0.0086
W_115_a,115,W,Coral_Dom,1,0.9833,1.0159,0.0326,1.0091,0.0068
W_115_b,115,W,Coral_Dom,1,0.9784,1.0094,0.031,1.0033,0.0061
J_117,117,J,Rubble_Dom,1,0.7841,0.8175,0.0334,0.8086,0.0089
J_117_a,117,J,Rubble_Dom,1,0.9668,0.9966,0.0298,0.992,0.0046
J_117_b,117,J,Rubble_Dom,1,0.9629,0.9929,0.03,0.9872,0.0057
N_118,118,N,Algae_Dom,1,0.7857,0.8234,0.0377,0.8138,0.0096
N_118_a,118,N,Algae_Dom,1,0.9802,1.0173,0.0371,1.0082,0.0091
N_118_b,118,N,Algae_Dom,1,0.9716,1.0085,0.0369,0.9989,0.0096
S_123,123,S,Rubble_Dom,1,0.7928,0.8247,0.0319,0.8155,0.0092
S_123_a,123,S,Rubble_Dom,1,0.9709,1.0013,0.0304,0.9935,0.0078
S_123_b,123,S,Rubble_Dom,1,0.9681,0.9988,0.0307,0.9914,0.0074
T_125,125,T,Control,1,0.7962,0.8317,0.0355,0.8232,0.0085
