CORAL_NUM,GENOTYPE,CORAL_TANK_NUM,TANK_NUM,TREATMENT,750,663,630,Chla,Chlc,Chla_norm,Chlc_norm,Chl_total,SA_cm_2,chla.ug.cm2,chlc2.ug.cm2
135,P,25,13,Algae_Dom,0.035,0.178,0.082,2.6740166666666663,0.4080800000000001,2.6189999999999998,0.3720500000000001,2.99105,19.30396771,0.13852160896857751,0.02113969553464406
104,G,15,8,Control,0.036,0.15,0.072,2.1332999999999998,0.2855399999999999,2.1153166666666667,0.2645000000000002,2.3798166666666667,98.05974127,0.021755105330393654,0.0029118983621809415
59,K,7,4,Algae_Dom,0.123,0.315,0.184,3.592533333333334,0.4908899999999998,3.537516666666667,0.4548599999999998,3.992376666666667,86.01856927,0.04176462552006515,0.0057067910355398524
136,S,31,16,Coral_Dom,0.123,0.177,0.143,1.0073666666666665,0.21509999999999974,0.9893833333333334,0.19406,1.1834433333333334,29.60947527,0.03402176693375311,0.0072645664280966415
6,J,2,1,Algae_Dom,0.09,0.189,0.121,1.8528833333333332,0.24083999999999994,1.7978666666666665,0.2048099999999999,2.0026766666666664,58.17561903,0.031849825824420336,0.00413987859546116
60,J,21,11,Control,0.093,0.211,0.14,2.1977666666666664,0.5593300000000003,2.1797833333333334,0.5382900000000006,2.718073333333334,44.65190033,0.04922000296569834,0.012526454548771057
95,L,31,16,Coral_Dom,0.04,0.17,0.079,2.4349,0.2700100000000001,2.416916666666667,0.24897000000000036,2.665886666666667,79.22055025,0.030735711785844354,0.003408332801879271
111,A,19,10,Rubble_Dom,0.034,0.098,0.053,1.1989333333333334,0.1275099999999999,1.1809500000000004,0.10647000000000018,1.2874200000000005,67.54097502,0.01775119966773221,0.0018878910167086287
85,E,21,11,Control,0.035,0.235,0.097,3.743866666666666,0.46958000000000033,3.6888499999999995,0.4335500000000003,4.1224,48.84642271,0.07664566735815864,0.00961339590389014
118,N,8,4,Algae_Dom,0.039,0.098,0.051,1.11115,-0.031870000000000065,1.093166666666667,-0.05290999999999979,1.0402566666666673,59.07961092,0.01880767294667214,-5.394416026733046e-4
204,Q,26,13,Algae_Dom,0.063,0.125,0.097,1.1448333333333334,0.5459600000000001,1.0898166666666667,0.5099300000000001,1.5997466666666669,27.11445765,0.04222224719045167,0.020135383382820497
137,P,18,9,Coral_Dom,0.115,0.158,0.147,0.7850166666666666,0.6067299999999997,0.7670333333333335,0.5856899999999999,1.3527233333333335,38.64939418,0.02031122824359537,0.015698305571733018
80,S,20,10,Rubble_Dom,0.129,0.258,0.192,2.39025,0.9262199999999998,2.335233333333333,0.8901899999999998,3.2254233333333326,17.74910165,0.1346687875890327,0.05218404955160082
36,W,23,12,Rubble_Dom,0.072,0.328,0.15,4.7936,0.5642200000000002,4.775616666666666,0.5431800000000004,5.318796666666667,51.48607903,0.09310477881228547,0.010958690400005786
114,S,1,1,Algae_Dom,0.116,0.309,0.151,3.6393166666666663,-0.21950000000000036,3.5843,-0.25553000000000037,3.3287699999999996,80.12454214,0.045420748368305945,-0.0027394852330821736
38,I,14,7,Coral_Dom,0.05,0.328,0.131,5.2095,0.5123899999999997,5.191516666666667,0.49134999999999995,5.6828666666666665,81.49860982,0.06392133573205531,0.00628710110677566
100,U,10,5,Rubble_Dom,0.045,0.18,0.089,2.5248166666666667,0.3752099999999998,2.4698,0.3391799999999998,2.80898,63.38261232,0.03983453149453065,0.005919762317552894
25,M,9,5,Rubble_Dom,0.044,0.093,0.059,0.9174499999999999,0.1099,0.8994666666666667,0.08886000000000027,0.988326666666667,36.11821688,0.025401309346144,0.0030427858707735853
117,J,4,2,Rubble_Dom,0.042,0.109,0.064,1.2528833333333333,0.1906299999999999,1.1978666666666666,0.15459999999999988,1.3524666666666665,40.78281504,0.030720864464713844,0.004674272725240496
147,H,11,6,Coral_Dom,0.033,0.151,0.069,2.2095,0.26134000000000013,2.191516666666667,0.2403000000000004,2.431816666666667,88.73054495,0.02490123329283125,0.0029453217057019794
15,V,15,8,Control,0.042,0.233,0.11,3.5660166666666666,0.6865700000000001,3.511,0.6505400000000001,4.1615400000000005,56.83771103,0.06274032859599953,0.012079480112026603
33,F,1,1,Algae_Dom,0.035,0.232,0.101,3.6824500000000002,0.59609,3.664466666666667,0.5750500000000003,4.239516666666668,37.74540229,0.09756022658620868,0.015792386988492207
37,C,14,7,Coral_Dom,0.055,0.139,0.074,1.5799333333333339,0.006509999999999683,1.5249166666666671,-0.02952000000000035,1.4953966666666667,70.57838777,0.022385511815344965,9.223786779055356e-5
19,L,20,10,Rubble_Dom,0.058,0.191,0.095,2.494183333333334,0.19767999999999997,2.476200000000001,0.17664000000000024,2.652840000000001,35.82893948,0.06961365224682708,0.005517327692893241
115,W,16,8,Control,0.077,0.166,0.107,1.6634500000000003,0.2742499999999999,1.6084333333333336,0.23821999999999985,1.8466533333333335,83.23427425,0.019985156535440092,0.00329491669713213
76,K,13,7,Coral_Dom,0.069,0.209,0.122,2.6104666666666665,0.5887699999999998,2.5924833333333335,0.5677300000000001,3.1602133333333335,59.80280443,0.04365124163570378,0.0098451904657609
78,L,27,14,Algae_Dom,0.072,0.139,0.098,1.2486166666666672,0.2989900000000002,1.1936000000000004,0.2629600000000002,1.4565600000000005,50.58208714,0.024684957408158608,0.005910985823350116
203,X,27,14,Algae_Dom,0.036,0.165,0.075,2.41585,0.27605999999999997,2.360833333333333,0.24002999999999994,2.600863333333333,38.72171353,0.06239005921389036,0.00712933325603269
208,X,14,7,Coral_Dom,0.035,0.124,0.063,1.6655833333333332,0.22007,1.6476000000000002,0.19903000000000026,1.8466300000000004,50.40128876,0.03304644334125025,0.004366356603457614
21,N,22,11,Control,0.037,0.128,0.067,1.70155,0.2621500000000002,1.6465333333333332,0.22612000000000018,1.8726533333333333,55.96987881,0.030401173562948438,0.004683769298302689
106,D,20,10,Rubble_Dom,0.035,0.075,0.049,0.7470666666666665,0.13726000000000002,0.7290833333333334,0.1162200000000003,0.8453033333333337,50.11201136,0.014907936169231157,0.002739063874605572
86,E,26,13,Algae_Dom,0.035,0.197,0.078,3.0402333333333336,0.18476999999999977,3.0222500000000005,0.16373000000000004,3.1859800000000007,43.9648665,0.06915142875125832,0.004202673969224944
