FileName,DATE,RUN_NUM,GENOTYPE,CORAL_NUM,LIGHT_DARK,Intercept,umol.L.sec,Temp.C
BLANK_LIGHT_RUN4_628_O2,6/28/24,4,BLANK,BLANK,LIGHT,5.83352875,-1.79E-04,27.83678947
113_LIGHT_RUN5_O2,6/28/24,5,C,113,LIGHT,3.623948901,0.00236978,27.6439
118_LIGHT_RUN5_O2,6/28/24,5,N,118,LIGHT,4.506203205,-3.76E-04,27.53145
127_LIGHT_RUN5_O2,6/28/24,5,P,127,LIGHT,4.960890326,0.001107343,27.64505
141_LIGHT_RUN5_O2,6/28/24,5,T,141,LIGHT,4.146571648,0.002830549,27.88035
149_LIGHT_RUN5_O2,6/28/24,5,O,149,LIGHT,4.506490851,0.001657168,27.44235
151_LIGHT_RUN5_O2,6/28/24,5,W,151,LIGHT,4.921548626,0.001187637,27.4852
155_LIGHT_RUN5_O2,6/28/24,5,W,155,LIGHT,5.703724877,0.001522672,27.79055
28_LIGHT_RUN5_O2,6/28/24,5,P,28,LIGHT,3.579342279,4.74E-05,27.8379
61_LIGHT_RUN5_O2,6/28/24,5,,61,LIGHT,2.94260303,0.001927273,27.40185
BLANK_LIGHT_RUN5_628_O2,6/28/24,5,BLANK,BLANK,LIGHT,6.787277368,-1.72E-04,27.8945
128_LIGHT_RUN6_O2,6/28/24,6,R,128,LIGHT,3.971892279,0.002602819,27.3613
135_LIGHT_RUN6_O2,6/28/24,6,P,135,LIGHT,4.898188958,0.001203199,27.4476
136_LIGHT_RUN6_O2,6/28/24,6,S,136,LIGHT,5.014978186,0.002026716,27.27665
19_LIGHT_RUN6_O2,6/28/24,6,L,19,LIGHT,5.196763382,0.001946912,27.4819
2_LIGHT_RUN6_O2,6/28/24,6,M,2,LIGHT,3.65883176,0.001753322,27.5093
48_LIGHT_RUN6_O2,6/28/24,6,I,48,LIGHT,3.042837143,0.00202,27.4446
74_LIGHT_RUN6_O2,6/28/24,6,E,74,LIGHT,3.82424244,0.001623036,27.57045
80_LIGHT_RUN6_O2,6/28/24,6,S,80,LIGHT,6.00118,0.00122,27.6195
95_LIGHT_RUN6_O2,6/28/24,6,L,95,LIGHT,4.064155714,0.002844286,27.42975
BLANK_LIGHT_RUN6_628_O2,6/28/24,6,BLANK,BLANK,LIGHT,7.351607802,-1.66E-04,27.18105
10_LIGHT_RUN7_O2,6/28/24,7,G,10,LIGHT,4.714542967,0.002874615,28.11895238
117_LIGHT_RUN7_O2,6/28/24,7,J,117,LIGHT,4.502579545,0.001965909,27.96385714
134_LIGHT_RUN7_O2,6/28/24,7,U,134,LIGHT,4.730534615,6.85E-04,27.50671429
18_LIGHT_RUN7_O2,6/28/24,7,V,18,LIGHT,3.751698242,0.001596264,27.96761905
206_LIGHT_RUN7_O2,6/28/24,7,Q,206,LIGHT,4.805913736,0.001767582,27.60952381
21_LIGHT_RUN7_O2,6/28/24,7,N,21,LIGHT,3.098819505,0.001740934,27.87328571
210_LIGHT_RUN7_O2,6/28/24,7,Q,210,LIGHT,4.284775284,0.002948142,28.08714286
63_LIGHT_RUN7_O2,6/28/24,7,E,63,LIGHT,5.795074345,0.002403036,27.61390476
64_LIGHT_RUN7_O2,6/28/24,7,K,64,LIGHT,2.247991375,0.001355944,27.81385714
BLANK_LIGHT_RUN7_O2,6/28/24,7,BLANK,BLANK,LIGHT,6.613843088,-2.20E-04,27.82852381
100_LIGHT_RUN8_O2,6/28/24,8,U,100,LIGHT,3.322246096,0.00283549,27.74882609
145_LIGHT_RUN8_O2,6/28/24,8,D,145,LIGHT,4.46764044,2.99E-05,27.65713043
153_LIGHT_RUN8_O2,6/28/24,8,D,152,LIGHT,4.299471648,0.002574505,27.70865217
204_LIGHT_RUN8_O2,6/28/24,8,Q,204,LIGHT,4.5235516,0.001652735,27.64604348
58_LIGHT_RUN8_O2,6/28/24,8,A,58,LIGHT,4.791419405,0.004613929,27.28295652
66_LIGHT_RUN8_O2,6/28/24,8,R,66,LIGHT,4.38137125,0.002589464,27.86730435
73_LIGHT_RUN8_O2,6/28/24,8,B,73,LIGHT,4.236482632,0.003106842,27.29386957
86_LIGHT_RUN8_O2,6/28/24,8,E,86,LIGHT,3.458726044,0.001528901,27.69626087
97_LIGHT_RUN8_O2,6/28/24,8,V,97,LIGHT,4.528873407,0.00102989,27.30747826
BLANK_LIGHT_RUN8_O2,6/28/24,8,BLANK,BLANK,LIGHT,6.297547721,-1.09E-04,27.5066087
104_DARK_RUN10_O2,6/29/24,10,G,104,DARK,4.089717576,-0.001790303,27.23910526
125_DARK_RUN10_O2,6/29/24,10,T,125,DARK,4.508705,-0.001476429,27.34615789
138_DARK_RUN10_O2,6/29/24,10,R,138,DARK,4.44840193,-0.001528246,26.92621053
139_DARK_RUN10_O2,6/29/24,10,T,139,DARK,5.224101905,-0.001397143,27.20831579
15_DARK_RUN10_O2,6/29/24,10,V,15,DARK,4.035831964,-0.001353393,27.33289474
159_DARK_RUN10_O2,6/29/24,10,H,159,DARK,5.808614632,-0.001930809,26.783
40_DARK_RUN10_O2,6/29/24,10,A,40,DARK,3.368286548,-0.001788929,27.28052632
50_DARK_RUN10_O2,6/29/24,10,I,50,DARK,3.312917716,-0.002401399,27.30715789
BLANK_DARK_RUN10_2_O2,6/29/24,10,BLANK,BLANK,DARK,6.056234265,-1.56E-04,26.95415789
111_DARK_RUN11_O2,6/29/24,11,A,111,DARK,4.376498333,-0.002065,27.17247368
123_DARK_RUN11_O2,6/29/24,11,S,123,DARK,4.852545941,-0.001238751,27.35042105
162_DARK_RUN11_O2,6/29/24,11,O,162,DARK,5.564959266,-0.00151521,25.47321053
56_DARK_RUN11_O2,6/29/24,11,A,56,DARK,5.133436726,-0.001528393,27.14457895
96_DARK_RUN11_O2,6/29/24,11,N,96,DARK,4.90875756,-0.001455179,27.04478947
BLANK_DARK_RUN11_O2,6/29/24,11,BLANK,BLANK,DARK,5.498360879,-2.38E-04,27.24484211
146_DARK_RUN9_2_O2,6/29/24,9,O,146,DARK,1.374064951,-8.10E-04,27.21938889
147_DARK_RUN9_2_O2,6/29/24,9,H,147,DARK,3.375842088,-8.95E-04,26.619
207_DARK_RUN9_2_O2,6/29/24,9,X,207,DARK,2.544464583,-8.17E-04,27.05061111
46_DARK_RUN9_2_O2,6/29/24,9,C,46,DARK,4.142787273,-7.51E-04,27.09338889
6_DARK_RUN9_2_O2,6/29/24,9,J,6,DARK,3.683800368,-9.84E-04,26.70655556
60_DARK_RUN9_2_O2,6/29/24,9,J,60,DARK,4.050401307,-6.41E-04,26.75638889
8_DARK_RUN9_2_O2,6/29/24,9,J,8,DARK,3.553780882,-7.81E-04,27.00766667
85_DARK_RUN9_2_O2,6/29/24,9,E,85,DARK,3.166393516,-9.47E-04,26.97916667
92_DARK_RUN9_2_O2,6/29/24,9,G,92,DARK,3.186221726,-0.001049107,27.03744444
BLANK_DARK_RUN9_2_O2,6/29/24,9,BLANK,BLANK,DARK,6.011284396,-3.38E-05,26.91322222
104_LIGHT_RUN10_O2,6/29/24,10,G,104,LIGHT,3.416835455,0.002673636,27.50322222
125_LIGHT_RUN10_O2,6/29/24,10,T,125,LIGHT,3.879183791,0.002118407,27.639
138_LIGHT_RUN10_O2,6/29/24,10,R,138,LIGHT,3.76075,0.001401515,27.12411111
139_LIGHT_RUN10_O2,6/29/24,10,T,139,LIGHT,4.5785,0.002554545,27.52338889
15_LIGHT_RUN10_O2,6/29/24,10,V,15,LIGHT,3.469832143,0.001118407,27.5755
159_LIGHT_RUN10_O2,6/29/24,10,H,159,LIGHT,3.344862727,0.001846364,27.41027778
40_LIGHT_RUN10_O2,6/29/24,10,A,40,LIGHT,2.673668182,0.00244697,27.47116667
50_LIGHT_RUN10_O2,6/29/24,10,I,50,LIGHT,2.292765455,0.003507273,27.64516667
BLANK_LIGHT_RUN10_O2,6/29/24,10,BLANK,BLANK,LIGHT,5.975236703,-8.73E-05,27.22594444
ch9_LIGHT_RUN10_O2,6/29/24,10,NA,NA,LIGHT,4.919230606,0.001605758,27.15144444
111_LIGHT_RUN11_O2,6/29/24,11,A,111,LIGHT,3.531403385,0.002144308,27.55621429
123_LIGHT_RUN11_O2,6/29/24,11,S,123,LIGHT,4.282869524,0.001677662,27.55739286
162_LIGHT_RUN11_O2,6/29/24,11,O,162,LIGHT,5.040995788,0.001995665,25.15217857
56_LIGHT_RUN11_O2,6/29/24,11,A,56,LIGHT,4.43847875,0.002627132,27.38246429
96_LIGHT_RUN11_O2,6/29/24,11,N,96,LIGHT,4.126651579,0.001843158,27.44871429
BLANK_LIGHT_RUN11_O2,6/29/24,11,BLANK,BLANK,LIGHT,5.389611051,-1.80E-04,27.54521429
146_LIGHT_RUN9_O2,6/29/24,9,O,146,LIGHT,0.99850031,0.002248916,27.56768182
147_LIGHT_RUN9_O2,6/29/24,9,H,147,LIGHT,2.964713986,0.001946853,26.919
207_LIGHT_RUN9_O2,6/29/24,9,X,207,LIGHT,2.220918901,0.003333846,27.39709091
46_LIGHT_RUN9_O2,6/29/24,9,C,46,LIGHT,3.786053203,-2.06E-04,27.42154545
6_LIGHT_RUN9_O2,6/29/24,9,J,6,LIGHT,3.148186538,0.002313462,27.06981818
60_LIGHT_RUN9_O2,6/29/24,9,J,60,LIGHT,3.713207692,0.001330769,27.14481818
8_LIGHT_RUN9_O2,6/29/24,9,J,8,LIGHT,3.192328147,0.002154371,27.28045455
85_LIGHT_RUN9_O2,6/29/24,9,E,85,LIGHT,2.741432809,0.001904021,27.31536364
92_LIGHT_RUN9_O2,6/29/24,9,G,92,LIGHT,2.628648791,0.002775385,27.37704545
BLANK_LIGHT_RUN9_O2,6/29/24,9,BLANK,BLANK,LIGHT,6.00010022,-1.46E-04,27.1645
