TUBENAME,CORAL_NUM,GENOTYPE,TREATMENT,Volume(μL):,INCLUDE_VOL_UL,All Events,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),cells/uL from total events / include volume,calc vs fcm program diff,ENDO_COUNT
01-Well-D3,127,P,Rubble_Dom,90,75,60529,22106,52693,672.44,245.59,673.29,294.7466667,49.15666667,982.36
01-Well-F3,147,H,Coral_Dom,90,75,49305,11352,43308,547.74,126.11,553.36,151.36,25.25,504.44
01-Well-H3,155,W,Algae_Dom,43.7,28.7,32362,6532,22243,740.71,149.51,696.41,227.5958188,78.08581882,598.04
01-Well-A12,blank1_1125,BLANK,BLANK,90.2,75.2,19,0,14,0.21,0,0.18,0,0,0
01-Well-B4,207,X,Rubble_Dom,32,17,23398,2449,13419,730.31,76.44,659.78,144.0588235,67.61882353,305.76
01-Well-B12,blank2_1125,BLANK,BLANK,90,75,6,0,4,0.07,0,0.05,0,0,0
01-Well-C12,blank3_1125,BLANK,BLANK,90.1,75.1,5,0,1,0.06,0,0.01,0,0,0
01-Well-E3(1),135,P,Algae_Dom,55.8,40.8,16282,4015,13294,291.71,71.93,302.73,98.40686275,26.47686275,287.72
01-Well-A1,11,M,Control,90,75,16168,7260,14180,179.61,80.65,186.94,96.8,16.15,322.6
01-Well-B1,13,U,Rubble_Dom,90,75,7317,2966,6423,81.26,32.94,84.65,39.54666667,6.606666667,131.76
01-Well-C1,101,U,Coral_Dom,90.1,75.1,8756,3027,7659,97.22,33.61,100.91,40.30625832,6.696258322,134.44
01-Well-D1,145,D,Rubble_Dom,90,75,15861,3267,13861,176.22,36.3,182.75,43.56,7.26,145.2
01-Well-E1,204,Q,Algae_Dom,90,75,32660,12046,28438,362.79,133.81,374.86,160.6133333,26.80333333,535.24
01-Well-C2,102,I,Control,90,75,108994,23789,94503,1210.74,264.26,1245.75,317.1866667,52.92666667,1057.04
01-Well-D3,100,U,Algae_Dom,90,75,54624,8812,45592,606.67,97.87,600.86,117.4933333,19.62333333,391.48
01-Well-F3,159,,,37.1,22.1,15948,2319,10030,429.3,62.43,436.34,104.9321267,42.5021267,249.72
01-Well-A12,blank1_126,BLANK,BLANK,90,75,4,0,2,0.04,0,0.03,0,0,0
01-Well-B12,blank2_126,BLANK,BLANK,90.2,75.2,7,0,5,0.08,0,0.07,0,0,0
01-Well-C12,blank3_126,BLANK,BLANK,90.1,75.1,3,0,3,0.03,0,0.04,0,0,0
01-Well-E3(2),149,O,Rubble_Dom,90,75,9647,4334,8223,107.18,48.15,108.42,57.78666667,9.636666667,192.6
01-Well-C3(1),86,E,Algae_Dom,90,75,50820,14882,43080,564.44,165.29,567.78,198.4266667,33.13666667,661.16
01-Well-C4,43,N,Coral_Dom,90,75,71125,22382,60915,790.22,248.67,803.16,298.4266667,49.75666667,994.68
01-Well-D4,46,C,Algae_Dom,90,75,46123,3020,39473,512.48,33.56,520.49,40.26666667,6.706666667,134.24
