Experiment Name:,Exp_20241125_1

Tube Name:,Volume(μL):,All Events ,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,P1 Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,P1 Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,P1 Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,P1 Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,P1 Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,P1 Mean PE-H,include Mean PE-H
01-Well-A3,13.3,0,0,0,0.00,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####
01-Well-B3,13.8,0,0,0,0.00,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####
01-Well-C3,27.1,11905,1349,6487,439.79,49.83,421.78,832618.7,1044878.7,835564.4,2794251.3,2370020.8,2792490.0,678774.8,2129543.0,710406.4,4895760.0,5374018.0,4870813.5,89452.3,201277.8,91984.9,67605.0,48816.7,67424.5
01-Well-D3,90.0,60529,22106,52693,672.44,245.59,673.29,1022939.0,1080088.1,1035744.7,2777562.0,2231339.3,2816945.5,1155115.4,2073283.1,1173162.0,4776270.5,5066299.5,4772706.5,153630.6,228458.1,156373.7,95073.8,67612.4,97452.8
01-Well-E3,12.2,1,0,0,0.08,0.00,0.00,264667.8,####,####,386642.9,####,####,172963.2,####,####,3182290.0,####,####,20789.4,####,####,3213.2,####,####
01-Well-F3,90.0,49305,11352,43308,547.74,126.11,553.36,908355.4,948245.4,915074.2,3054552.8,1901108.3,3083982.3,775508.1,2167233.0,784141.7,5088862.0,5412278.5,5096203.5,85778.9,177592.6,86813.6,59242.9,49598.1,60169.4
01-Well-G3,15.0,7,0,1,0.47,0.00,0.37,409359.2,####,361017.4,1751091.3,####,3392487.5,114385.1,####,126428.6,3393175.8,####,5685450.0,19262.2,####,16257.8,24670.8,####,22882.2
01-Well-H3,43.7,32362,6532,22243,740.71,149.51,696.41,969006.6,1064835.5,989321.6,2931278.3,2287781.0,2966588.3,836208.9,2047489.5,877867.5,4744058.0,5188200.0,4742490.0,98818.0,176672.5,103284.7,60368.0,48635.0,62660.0
01-Well-A4,20.5,4,0,3,0.20,0.00,0.36,488495.1,####,586681.9,2687975.3,####,3351230.5,113011.0,####,124779.7,5696524.0,####,5699347.0,25465.7,####,28180.7,23505.9,####,28674.2
01-Well-A12,90.2,19,0,14,0.21,0.00,0.18,854695.9,####,973034.5,3823914.0,####,4202539.0,294334.2,####,364591.4,4912114.5,####,5349770.0,61060.6,####,72752.9,379449.8,####,467660.1
01-Well-B4,32.0,23398,2449,13419,730.31,76.44,659.78,609576.3,974353.0,618075.1,1927980.1,1749894.3,1956733.9,586494.4,2153895.3,605045.8,4426095.5,5316672.5,4421818.0,68708.0,174898.1,70614.6,43651.0,47594.7,44111.9
01-Well-B12,90.0,6,0,4,0.07,0.00,0.05,682598.4,####,743037.5,3177884.3,####,3075196.5,149612.3,####,132485.7,4855705.0,####,4435076.0,39945.3,####,43968.1,45415.8,####,51582.3
01-Well-C12,90.1,5,0,1,0.06,0.00,0.01,623736.3,####,760336.5,3116618.0,####,3635303.3,143885.8,####,72763.8,4419161.0,####,5698315.5,37363.8,####,53185.9,67687.6,####,119388.1
01-Well-C3(1),28.6,3,0,0,0.10,0.00,0.00,723416.1,####,####,3356707.3,####,####,125125.8,####,####,5697907.5,####,####,35918.3,####,####,77789.1,####,####
01-Well-E3(1),55.8,16282,4015,13294,291.71,71.93,302.73,929470.3,1054264.1,931300.1,2867586.0,2296825.8,2859743.5,831041.7,2144651.5,844865.8,5018768.0,5473693.5,5007183.5,113737.0,219553.3,114842.7,60286.8,50484.6,60449.4
01-Well-G3(1),32.6,1839,506,1019,56.46,15.54,49.59,1118424.5,1058199.3,1133553.0,2995495.8,2144922.8,3021571.3,1238469.5,2073731.0,1266132.0,5343728.0,5577869.5,5359364.5,154368.2,234524.4,158276.6,97318.0,86445.2,106516.1
01-Well-G3(2),12.7,235,2,9,18.45,0.16,10.42,1033975.0,1199823.8,1087145.5,2719307.5,2078628.5,3700880.8,1204966.1,2931702.8,865981.3,5357664.0,5680015.0,5665742.5,160680.0,299468.8,104181.3,132497.0,77374.7,90335.4
01-Well-B4(1),15.7,23,2,14,1.47,0.13,3.48,615516.7,1033273.9,655376.3,2409897.3,1967250.1,2543962.3,395285.7,2458265.3,500007.4,4945491.0,5696054.0,5682118.5,52817.5,188381.8,65157.7,44328.2,38188.6,57750.1
01-Well-B4(2),90.1,86823,14209,77026,963.74,157.72,983.25,611278.2,980094.9,611646.9,1919568.6,1775271.6,1923239.0,611427.2,2205689.3,614621.3,4368436.5,5292580.5,4362800.5,70233.8,179769.1,70599.5,42760.9,48793.0,42756.7
01-Well-A4(1),25.2,2678,227,1010,106.48,9.03,77.33,826311.6,997272.1,853035.6,2840876.3,1878645.6,2854200.8,569836.5,2063573.0,678987.9,5110479.0,5598639.0,5212609.5,72105.5,162091.0,79034.9,47441.5,47521.8,47182.4
01-Well-A4(2),14.9,8,0,0,0.54,0.00,0.00,368450.4,####,####,1629803.0,####,####,171324.1,####,####,4039034.8,####,####,16281.6,####,####,16244.4,####,####
