Experiment Name:,Exp_20241122_1

Tube Name:,Record Time:,Volume(μL):,All Events ,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,P1 Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,P1 Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,P1 Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,P1 Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,P1 Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,P1 Mean PE-H,include Mean PE-H,All Events  Mean R-Phycocyanin-H,P1 Mean R-Phycocyanin-H,include Mean R-Phycocyanin-H
01-Well-H3(2),2024-11-22 12:21:24,90.0,23585,9351,20119,262.05,103.90,268.48,711312.1,1026996.7,707095.9,1706627.1,2184393.8,1692252.6,1169475.6,2269697.3,1174046.8,4347374.5,5418800.5,4328512.5,126708.8,227467.1,126876.1,47630.4,50684.1,47073.1,2345437.0,4535121.5,2351985.0
01-Well-B4(1),2024-11-22 12:24:46,14.7,8,0,0,0.54,0.00,0.00,757377.3,####,####,2826723.0,####,####,523305.5,####,####,5492367.0,####,####,56459.4,####,####,100257.6,####,####,1005154.2,####,####
01-Well-D4(1),2024-11-22 12:30:17,90.0,24063,7280,20666,267.26,80.86,275.66,681509.4,1063667.6,679414.8,1671591.5,1943783.0,1669101.6,1033606.7,2542932.8,1030660.3,4294254.5,5451030.0,4281471.0,111743.0,243430.0,111422.9,49777.6,67625.1,49856.3,2047047.5,4998230.0,2039068.3
01-Well-E4(1),2024-11-22 12:33:27,33.9,3032,123,628,89.53,3.63,33.99,662541.6,1109860.8,669133.7,2033695.8,2732894.0,2047159.8,620428.3,2384153.8,653651.3,4656638.0,5581362.0,4663972.0,83677.8,226463.8,85514.5,55957.1,62574.7,59171.2,1246888.9,4735990.0,1308263.1
01-Well-E4(2),2024-11-22 12:34:47,90.0,23040,3834,19860,255.94,42.59,264.96,662785.4,1107528.0,662525.1,2003186.4,2765456.8,2004050.4,649379.4,2372478.5,651778.9,4577728.5,5509267.5,4560232.0,88128.8,237098.0,88585.7,50877.4,63778.8,51192.9,1284547.1,4613456.0,1286824.6
01-Well-A3(1),2024-11-22 12:43:52,16.5,14,0,0,0.85,0.00,0.00,581059.6,####,####,1794254.0,####,####,312952.1,####,####,4059232.3,####,####,43622.4,####,####,27562.1,####,####,601067.4,####,####
01-Well-A3(2),2024-11-22 12:44:55,15.2,0,0,0,0.00,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####
01-Well-B4(2),2024-11-22 12:45:55,22.3,244,16,41,10.95,0.72,6.10,709040.1,998359.9,791305.0,1910070.3,2122401.3,2187838.3,807760.6,2058788.9,986948.1,4607623.5,5573376.0,4969769.5,82039.6,156508.0,94795.3,55155.0,51184.5,51936.7,1558721.0,3904286.3,1876508.9
01-Well-A5,2024-11-22 13:28:27,16.2,12,0,0,0.74,0.00,0.00,655009.2,####,####,1815354.6,####,####,304681.7,####,####,3402254.0,####,####,27796.6,####,####,47880.1,####,####,546882.1,####,####
01-Well-B5,2024-11-22 13:34:10,90.1,27980,5414,23985,310.68,60.11,319.82,595135.6,1089808.6,592347.8,1576394.0,2026852.4,1569532.0,762794.1,2608520.0,763082.3,4343795.0,5506382.0,4329426.5,87773.8,236918.6,87764.5,36591.6,64417.4,36427.9,1414576.4,4637393.5,1413421.9
01-Well-C5,2024-11-22 13:36:46,90.0,39756,6893,34003,441.51,76.55,453.50,567523.8,1092385.6,563745.2,1583278.5,2285841.5,1574772.3,636224.3,2363114.8,635195.9,4062247.5,5328756.0,4046554.0,73504.2,211228.5,73362.9,33564.6,56037.7,33385.8,1191482.3,4386439.5,1188762.0
01-Well-D5,2024-11-22 13:39:09,90.0,15227,3677,13155,169.19,40.86,175.55,626215.3,1074765.6,622840.9,1625334.4,2218917.8,1616269.5,893202.0,2692295.3,894560.1,4420194.5,5559526.0,4411074.5,109570.8,273289.5,109430.1,41643.3,63173.8,41461.7,1656145.5,4832603.0,1655001.3
01-Well-E5,2024-11-22 13:41:29,15.1,13,0,1,0.86,0.00,14.08,535389.4,####,124835.6,1802479.6,####,651608.0,620972.8,####,83496.1,4656486.5,####,5689632.0,65534.8,####,19532.8,22089.8,####,8603.6,1148515.5,####,184365.6
01-Well-F5,2024-11-22 13:46:01,22.0,2828,288,658,128.54,13.09,94.88,617370.0,1055095.9,617805.1,1294378.4,2112811.8,1245421.6,1066489.9,2257969.5,1111139.1,4020479.3,5489856.0,4090660.5,121906.9,234264.0,120392.1,42651.4,67202.2,42509.3,2274826.8,4872682.5,2393964.8
01-Well-G5,2024-11-22 13:48:26,90.1,38488,7529,33431,427.35,83.60,445.77,520878.7,1063268.9,516762.4,1271122.3,1928576.0,1265886.0,695200.8,2413547.5,692081.1,4063376.3,5433692.0,4052932.3,75008.9,216683.1,74667.7,29116.6,56938.8,28962.8,1379146.4,4713969.5,1371934.6
01-Well-H5,2024-11-22 13:51:01,70.0,27090,4211,21264,386.79,60.13,386.82,588434.1,1063110.3,581796.3,1655752.4,1900084.3,1630893.6,665402.2,2554670.8,666055.6,4097351.0,5493646.0,4049148.3,71329.4,217251.6,71208.3,36540.8,50955.8,36005.2,1256416.3,4702906.0,1251871.8
01-Well-A6,2024-11-22 13:53:17,78.1,25093,6695,20715,321.27,85.72,329.33,645941.6,1040018.8,643376.9,1635414.8,2124955.5,1630186.3,1012216.1,2696064.3,1012299.1,4440283.0,5423909.0,4433815.0,95824.0,219609.1,95888.3,37512.9,51231.8,37206.6,1870703.9,4924280.0,1870599.9
01-Well-B6,2024-11-22 13:55:33,90.0,32913,4746,28244,365.68,52.73,376.90,487016.8,1071392.4,484640.3,1342597.5,2309081.8,1339407.0,589923.1,2519838.8,589408.8,4041977.3,5470874.0,4030600.3,73316.6,264642.0,73268.2,33382.1,59550.2,33301.9,1122278.5,4684187.5,1123845.1
01-Well-C6,2024-11-22 13:57:54,90.0,36893,14449,31480,409.89,160.53,420.07,835827.2,1067555.8,830860.5,2044502.0,2356507.5,2035111.4,1113269.3,2064002.8,1110711.9,4638992.0,5027937.0,4611017.0,126979.3,211947.0,126525.7,52068.7,61241.3,51747.0,2340532.8,4442356.5,2335925.8
01-Well-D6,2024-11-22 14:00:14,90.0,100939,14268,84635,1121.42,158.52,1129.31,632066.4,1033720.9,631787.3,2072598.9,2312262.8,2070871.0,663179.8,2633046.5,667810.4,4429311.5,5288394.5,4409178.5,82519.9,238509.0,83014.6,71912.6,60504.4,72574.0,1244310.0,4686863.5,1251279.3
01-Well-E6,2024-11-22 14:02:38,90.0,24505,4604,21065,272.23,51.15,281.05,626932.6,1106951.3,623758.1,1796299.1,2177367.8,1790162.1,763631.6,2735493.5,762716.8,4200889.5,5523008.0,4183881.3,89836.2,238325.9,89614.2,50444.3,56479.0,49967.6,1442982.0,4985787.5,1438968.3
01-Well-F6,2024-11-22 14:04:52,90.0,14801,7888,12662,164.41,87.62,168.92,868124.6,1062239.9,869154.1,1843772.1,2042650.0,1850924.8,1502993.6,2248183.3,1512729.5,4856939.0,5432657.0,4851951.0,180842.3,260251.2,182164.4,63556.8,75053.2,63837.2,3164351.8,4718277.0,3170546.8
