flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
8,36.4,28.8,1,0,8.015577469,0.011339582,441218.8513,443109.727,441218.8513,443109.727,441218.8513,443111.3923,1.847464537,0.243561541,2.10236566,2.334695,3898.853165,5831.8489
8,36.4,28.7,1,0,8.085494514,0.009330413,362193.0977,363685.6982,362193.0977,363685.6982,362193.0977,363686.9314,1.782217464,0.275009564,2.066557441,2.332358,4399.966427,6583.616606
8,36.4,28.6,1,0,8.076887797,0.009486748,367398.1721,368918.2686,367398.1721,368918.2686,367398.1721,368919.5332,1.773098577,0.267270076,2.049855401,2.307758,4273.918284,6397.154213
8,36.4,28.8,1,0,8.039949343,0.010610294,412842.5369,414587.7865,412842.5369,414587.7865,412842.5369,414589.2979,1.828430103,0.254966334,2.094006731,2.338475,4081.417342,6104.925789
8,36.4,28.7,1,0,8.048503834,0.010410347,404114.5774,405817.357,404114.5774,405817.357,404114.5774,405818.8233,1.826141232,0.258780046,2.095331625,2.343815,4140.305146,6195.088569
8,36.4,28.6,1,0,8.063152842,0.009923744,384321.9366,385926.6036,384321.9366,385926.6036,384321.9366,385927.9626,1.797033234,0.262445185,2.069402163,2.32204,4196.763411,6281.669641
8,36.4,28.6,1,0,8.074900966,0.009557676,370145.0196,371678.7811,370145.0196,371678.7811,370145.0196,371680.061,1.778201486,0.26681583,2.054574993,2.311952,4266.654445,6386.281777
8,36.4,28.6,1,0,8.060322809,0.010147388,392983.0858,394631.3736,392983.0858,394631.3736,392983.0858,394632.7809,1.825596358,0.264884916,2.100628662,2.355482,4235.777177,6340.065019
8,36.4,28.6,1,0,8.053684485,0.010236931,396450.8831,398116.6984,396450.8831,398116.6984,396450.8831,398118.1251,1.813768971,0.259176793,2.083182695,2.332237,4144.498525,6203.440131
8,36.4,28.6,1,0,8.072400591,0.009714042,376200.6728,377764.6449,376200.6728,377764.6449,376200.6728,377765.9586,1.796917973,0.26807635,2.074708365,2.333189,4286.811431,6416.452534
8,36.4,28.5,1,0,8.016335162,0.011302156,436675.9047,438549.5459,436675.9047,438549.5459,436675.9047,438551.1966,1.833940405,0.23959995,2.084842511,2.313247,3829.462559,5733.812939
8,36.4,29.3,1,0,8.057758252,0.009970273,392484.9004,394117.9091,392484.9004,394117.9091,392484.9004,394119.2943,1.807292353,0.26733064,2.084593267,2.342071,4290.655411,6407.061101
8,36.4,28.5,1,0,8.070131162,0.00982682,379674.0322,381257.1485,379674.0322,381257.1485,379674.0322,381258.4842,1.804815801,0.266888824,2.081531445,2.338711,4265.613413,6386.856905
8,36.4,28.9,1,0,8.073743865,0.00961739,375085.2493,376638.4434,375085.2493,376638.4434,375085.2493,376639.7432,1.794889246,0.271518117,2.076024753,2.338045,4348.650407,6502.460828
