CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,CORAL_TANK_NUM,endo_per_cm2,initial_endo,chla_ug_cm2,initial_chla,mean_tissue_biomass,initial_biomass,GP,R
68,F,Algae_Dom,1,1,0.362984736886018,0.8233524278308041,1.505470059512639,3.2951648175803965,4.844738775665258,20.00443690979766,2.6864674450255364,1.0628496247257828
71,M,Coral_Dom,7,14,0.7946010544078358,NA,3.85267380203464,1.9852306702236393,38.005454743800016,NA,5.7513402490583765,2.128778761827318
73,B,Rubble_Dom,5,10,0.2259441617844178,NA,1.5577372237352445,2.3352212070332388,5.593142630293252,NA,3.2173645540124447,0.7969028923547974
74,E,Rubble_Dom,10,20,0.1979196679699275,0.7448353656735333,2.013096938327514,4.810672386557634,5.800674404153333,18.24126855303199,2.5559166063117544,1.007779753
76,K,Coral_Dom,7,13,0.9330987155513236,NA,3.23019188104208,1.80734140855145,4.990847327503277,NA,3.499153580077276,1.3246126910484095
78,L,Control,15,30,0.5751443177795292,NA,1.7279470185711023,0.6630181678932228,10.655946214875785,NA,NA,0.7746856972760578
80,S,Rubble_Dom,10,20,0.5492221630270511,1.046995071181318,2.0200318138354905,5.138287156720981,13.944367713956948,35.68254969945125,5.545389235,1.1580597823963554
85,E,Control,11,21,0.4746075293504334,0.7448353656735333,2.146078686028442,4.810672386557634,3.936146313275572,18.24126855303199,2.995562665626947,0.9697030737736532
86,E,Algae_Dom,14,27,0.1804604592623976,0.7448353656735333,0.8298171450150998,4.810672386557634,4.06688372407545,18.24126855303199,3.357836216920793,1.4606178059247987
90,G,Rubble_Dom,12,23,0.7574009119469135,1.2966341787360331,4.2996925886337705,3.9943344322871286,14.22007841349782,20.604581266136258,4.037628822564667,1.541026370042373
92,G,Algae_Dom,1,2,0.7371023406230943,1.2966341787360331,3.3185407633530923,3.9943344322871286,5.224303657943392,20.604581266136258,3.965215106332312,1.0578721137535017
95,L,Coral_Dom,16,31,0.10963215949134358,NA,0.7376570828602645,0.6630181678932228,3.2516815294400203,NA,2.6226660182682946,0.6988188936575584
96,N,Rubble_Dom,10,19,0.33706341278059787,0.929447095142448,2.3700051618750777,4.720371652834108,3.7088580542358054,21.819632953485694,2.372543438498496,0.8992230069017945
97,V,Algae_Dom,13,26,0.22973986729206755,1.1013906315562203,1.0329235994790151,4.853278907676657,7.211249853754991,18.589412358939818,1.6570820951011016,0.8065940335945473
100,U,Algae_Dom,14,27,0.38294035401158744,0.7774960435906315,2.4697409526609007,3.3472984457422785,7.042941015846094,38.90730959224573,3.845138177697647,1.5089229203351966
101,U,Coral_Dom,7,13,0.5077428420047742,0.7774960435906315,2.689657299274026,3.3472984457422785,NA,NA,2.5749039808045038,0.7503897972304606
102,I,Control,15,30,0.3674532327077202,NA,2.007022901194953,NA,2.838935203126701,NA,3.1206367055029176,0.7566490261058428
104,G,Control,8,15,0.36061608507240145,1.2966341787360331,1.9144492690746415,3.9943344322871286,4.87593916872399,20.604581266136258,2.297318003522599,0.8436494615972104
106,D,Coral_Dom,7,13,0.8948912403024328,0.8699065309034011,3.339377701907779,3.99537034781274,20.85993567138538,16.314985112909657,3.626419516741998,1.1871768604712007
108,F,Rubble_Dom,12,23,0.6214440215257951,0.8233524278308041,2.7225799858263775,3.2951648175803965,15.87420039062043,20.00443690979766,2.5236171208395857,1.1066834437857913
110,K,Rubble_Dom,5,9,NA,NA,3.129917434832939,1.80734140855145,NA,NA,2.7594428871043055,1.0167558297428214
111,A,Rubble_Dom,10,19,0.40180290545056446,0.8357502039027154,1.52660317142497,3.1814202195251218,8.318900733966139,16.17473459269022,3.0707551601971046,1.3351815946290195
113,C,Rubble_Dom,2,3,0.5824038757405864,NA,2.0216554685768027,9.37759385697352,21.367773493656607,NA,3.315534722841444,1.2581801608238103
114,S,Algae_Dom,1,1,0.10092488248944397,1.046995071181318,2.180195921678686,5.138287156720981,4.333254090779632,35.68254969945125,3.3525213192730208,1.482766549131345
115,W,Coral_Dom,6,11,0.6491508514594875,1.1932564592199246,4.596586003151221,8.171761566146001,19.80354064699895,44.85290236784113,3.80974762700241,1.504873730129613
117,J,Rubble_Dom,2,4,0.8299672292557859,NA,4.116595838271655,3.348934546436245,21.02846503260899,NA,4.066577545108938,1.3384266909179687
118,N,Algae_Dom,4,8,0.2422196046513842,0.929447095142448,1.57984452752046,4.720371652834108,13.412410604277554,21.819632953485694,2.0740720663737457,2.246314341530684
123,S,Control,8,16,0.5765620668144413,1.046995071181318,3.3873536396826465,5.138287156720981,12.565304064194686,35.68254969945125,3.0811853513359972,1.0775639130489674
125,T,Control,8,15,0.7397565259038891,NA,4.323205375986267,2.6068875866388836,14.326154784444476,NA,3.007119947647737,1.1309128744645691
127,P,Rubble_Dom,2,3,0.6838126004871964,NA,2.95371412798836,1.4487552255999607,5.313499650894036,NA,3.5071397018664876,1.185209185191424
128,R,Algae_Dom,13,25,0.40743831565540867,1.023629316496247,1.895105632381887,5.402623640764294,8.2871423173845,40.18635024072939,1.9580458694598344,0.526050988
134,U,Control,11,22,0.4784352027560808,0.7774960435906315,2.361721476746807,3.3472984457422785,15.810009242066725,38.90730959224573,2.0950293303709904,1.046802541514413
135,P,Algae_Dom,13,25,0.4620459448541008,NA,4.294169878025904,1.4487552255999607,11.348271503437294,NA,5.3165256059397175,1.678474370260134
136,S,Coral_Dom,16,31,0.7929623806534956,1.046995071181318,3.674350828845336,5.138287156720981,15.562585820859768,35.68254969945125,4.959414059950634,1.1831960360173008
137,P,Coral_Dom,9,18,0.22054679460955004,NA,2.0311228243595374,1.4487552255999607,22.768791559878466,NA,2.0773064247126465,1.0033845311274592
138,R,Coral_Dom,16,32,0.2580409626445415,1.023629316496247,2.199160922123357,5.402623640764294,9.377638418077971,40.18635024072939,2.437578365335366,1.1753786990252422
139,T,Rubble_Dom,12,24,0.7951921394533169,NA,3.714336400282647,2.6068875866388836,8.853542433556182,NA,3.2993763391042874,1.066448780812557
140,V,Coral_Dom,9,18,0.433388951094289,1.1013906315562203,2.830034036875477,4.853278907676657,16.07892798009634,18.589412358939818,3.5432478798260005,1.2836147251661023
141,T,Algae_Dom,4,8,0.5820894969639387,NA,4.2612492131869715,2.6068875866388836,21.22765856401701,NA,2.9780830928210422,0.9450860676112376
143,Q,Rubble_Dom,5,10,NA,0.6600635822911377,NA,NA,NA,NA,NA,NA
145,D,Rubble_Dom,5,10,0.4341515087677866,0.8699065309034011,2.679858991677742,3.99537034781274,22.524848710174417,16.314985112909657,1.1054089800213909,0.9903103144762132
146,O,Control,11,21,0.14447285724703832,NA,2.0340150497504697,0.9977448439271432,6.828894242206795,NA,2.1741330669477676,0.5559790044760279
147,H,Coral_Dom,6,11,0.29562401554933765,0.5379686865152249,1.294864131227225,2.3513969669094665,7.0325275287289895,16.756879455376726,1.6706385913526776,0.5013019254508548
148,O,Coral_Dom,6,12,NA,NA,1.5809009261231337,0.9977448439271432,NA,NA,NA,1.112624577107611
149,O,Rubble_Dom,2,3,0.41595561280443705,NA,1.6476607975184414,0.9977448439271432,7.702881718600687,NA,3.828072983310878,1.5228454362439452
151,W,Control,3,5,0.5032734606710484,1.1932564592199246,NA,NA,13.80632615818683,44.85290236784113,2.7438309804174157,0.951724551
153,D,Algae_Dom,14,28,0.438397310091796,0.8699065309034011,2.7424648794370143,3.99537034781274,7.732427826669743,16.314985112909657,3.079988574919701,1.1163650091074109
155,W,Algae_Dom,4,8,0.3405549762677192,1.1932564592199246,2.5802811795728493,8.171761566146001,5.922299099030632,44.85290236784113,3.4036902683726322,1.061203123550069
156,H,Algae_Dom,4,7,0.6323776514896877,0.5379686865152249,1.7527289518035107,2.3513969669094665,6.7651867653500375,16.756879455376726,3.211774522184077,1.355288171466163
159,H,Rubble_Dom,12,24,0.34388757426665745,0.5379686865152249,3.938482169113172,2.3513969669094665,15.793724706469645,16.756879455376726,2.862412675661417,1.3659242433204606
161,H,Control,3,5,0.6756546380722431,0.5379686865152249,0.8831094353326945,2.3513969669094665,21.145137827537237,16.756879455376726,NA,NA
162,O,Algae_Dom,14,28,0.664827904759452,NA,2.428167199133804,0.9977448439271432,20.76613789659384,NA,4.975553998,2.245031861323924
202,X,Control,3,6,0.4530237201623172,NA,NA,NA,9.915957593625926,NA,NA,0.7178934718314155
203,X,Algae_Dom,14,27,0.9063565839566812,NA,4.492084263400106,2.7637492723538677,13.945663834882463,NA,NA,1.3212421272067671
204,Q,Algae_Dom,13,26,1.3818015644506174,0.6600635822911377,2.955557303331618,2.2741261018958356,16.522550654816435,34.17264289358168,4.795952243088642,1.5198642701259033
206,Q,Rubble_Dom,2,4,1.164198328269739,0.6600635822911377,5.266326310052242,2.2741261018958356,19.310419907052445,34.17264289358168,4.6654480954314925,1.3914799410256449
207,X,Rubble_Dom,10,19,0.3033897185974076,NA,3.6424097495048526,2.7637492723538677,4.630490210583145,NA,2.9752638218702825,0.5650312516546602
208,X,Coral_Dom,7,14,0.6634750980125533,NA,3.304644334125025,2.7637492723538677,27.90933925052806,NA,3.1018860020406622,1.0892249367706666
210,Q,Coral_Dom,9,17,0.5867500617615632,0.6600635822911377,3.657958420406086,2.2741261018958356,15.61284049257444,34.17264289358168,3.137516163212944,0.8558828415387048
