CORAL_NUM,GENOTYPE,TREATMENT,TANK_NUM,CORAL_TANK_NUM,SA_cm_2,endo_per_cm2,Chla_norm,Chlc_norm,Chl_total,chla.ug.cm2,chlc2.ug.cm2,mean_NPOC_mgL,mean_TN_mgL,mean_NPOC_uM,mean_TN_uM
19,L,Rubble_Dom,10,20,35.828939476352936,0.32823522470604516,2.476200000000001,0.17664000000000024,2.652840000000001,0.06911173023645412,0.00493009289595641,1.341516667,0.252444231,111.6934622,18.02310543
21,N,Control,11,22,55.9698788118787,0.882673342317743,1.6465333333333332,0.22612000000000015,1.8726533333333333,0.02941820436886762,0.00404003018780165,1.785712179,0.327693461,148.6767782,23.39547942
27,I,Coral_Dom,9,18,87.50111597629247,0.4383678947636808,0.995783333333334,0.03152000000000049,1.0273033333333346,0.01138023580820316,3.6022397711138877e-4,1.459732051,0.252799615,121.535968,18.0484779
28,P,Control,3,5,57.19930778388566,0.16821182585553288,1.953466666666667,0.07514000000000054,2.0286066666666676,0.03415192844955556,0.00131365226112532,1.604995513,0.258013205,133.6304722,18.42069903
33,F,Algae_Dom,15,1,37.745402285657896,0.4464649726730624,3.664466666666667,0.5750500000000003,4.239516666666668,0.0970837888681744,0.01523496810503858,1.694001923,0.283946667,141.0410653,20.27220307
36,W,Rubble_Dom,12,23,51.48607903161803,0.5083036131752904,4.775616666666666,0.5431800000000004,5.318796666666667,0.09275549345841624,0.01055003624734172,1.440459028,0.266772917,119.9313136,19.04609342
37,C,Coral_Dom,8,14,70.57838777337315,0.4953709074832418,1.5249166666666671,-0.02952000000000035,1.4953966666666667,0.0216060002905712,-4.182583497968213e-4,1.884205128,0.255255385,156.8772118,18.22380608
38,I,Algae_Dom,8,14,81.49860981884673,0.5338868981534207,5.191516666666667,0.4913499999999999,5.6828666666666665,0.06370067757146765,0.00602893719396206,1.884205128,0.255255385,156.8772118,18.22380608
40,A,Coral_Dom,16,32,73.32652312256518,0.49715162328188567,2.528016666666666,0.29393999999999987,2.821956666666666,0.03447615622698388,0.00400864499628548,1.313048077,0.260976667,109.3231932,18.6322736
41,B,Coral_Dom,16,31,133.09846696749176,0.2791232750191917,0.7460000000000002,0.16435000000000027,0.9103500000000004,0.00560487296972398,0.00123480009728436,1.313048077,0.260976667,109.3231932,18.6322736
43,N,Coral_Dom,6,12,52.49854994974141,0.4736702256311079,4.25715,0.33331999999999984,4.59047,0.08109081115677559,0.00634912774386066,1.264372436,0.24369782,105.2705035,17.39866068
46,C,Algae_Dom,1,2,43.892547145692696,0.04587566981055462,-1.7509333333333337,-1.3967699999999998,-3.1477033333333333,-0.03989135848848393,-0.03182248674761633,1.71301859,0.236815513,142.6243757,16.90730242
48,C,Control,16,31,46.78532119747377,1.2449032839630243,4.346,0.4656099999999997,4.81161,0.0928923835196412,0.00995205308112749,1.313048077,0.260976667,109.3231932,18.6322736
50,I,Rubble_Dom,12,24,88.98366267783028,0.4752548808101183,1.405283333333334,0.14223000000000036,1.5475133333333342,0.01579259934924196,0.00159838329549866,1.440459028,0.266772917,119.9313136,19.04609342
51,F,Coral_Dom,6,12,54.01725632692648,0.4054171109220805,1.5566166666666672,0.12092000000000004,1.6775366666666671,0.02881702575112383,0.00223854390643761,1.264372436,0.24369782,105.2705035,17.39866068
53,L,Algae_Dom,1,1,87.50111597629247,0.04024268674417884,3.594666666666667,0.43671000000000015,4.031376666666667,0.04108138080762644,0.00499090777424848,1.71301859,0.236815513,142.6243757,16.90730242
56,A,Algae_Dom,14,28,59.11577059319063,0.7279005173782939,1.0677166666666666,0.11567999999999988,1.1833966666666664,0.0180614522319579,0.00195683823192128,1.422463461,0.285085128,118.433019,20.35348285
58,A,Control,15,29,75.3876246344592,0.514032378495805,0.8782833333333336,0.14909000000000028,1.027373333333334,0.01165023221840347,0.00197764554503115,1.694001923,0.283946667,141.0410653,20.27220307
59,K,Algae_Dom,4,7,86.01856927475467,0.43818445619116,3.537516666666667,0.4548599999999998,3.992376666666667,0.04112503493940834,0.00528792798880738,1.857941667,0.237480128,154.6905398,16.95475224
60,J,Control,11,21,44.65190033428523,0.1507268436419109,2.1797833333333334,0.5382900000000006,2.718073333333334,0.04881725788205291,0.01205525399863761,1.785712179,0.327693461,148.6767782,23.39547942
63,E,Coral_Dom,9,17,48.918742060662325,0.6029067542952408,1.461366666666667,0.15117000000000025,1.6125366666666672,0.02987334925485749,0.00309022664185817,1.459732051,0.252799615,121.535968,18.0484779
64,K,Control,11,22,96.6856735906974,0.4686758473838662,1.7651,0.08145999999999984,1.84656,0.01825606560373139,8.425239952863614e-4,1.785712179,0.327693461,148.6767782,23.39547942
66,R,Control,15,29,69.16816042312989,0.35907157061957534,1.5396999999999998,0.0727900000000001,1.61249,0.02226024214972175,0.00105236281488487,1.694001923,0.283946667,141.0410653,20.27220307
68,F,Control,1,30,49.20801946584043,0.3629847369167013,3.0687333333333333,0.4164800000000004,3.4852133333333337,0.06236246380946518,0.00846366109601119,1.71301859,0.236815513,142.6243757,16.90730242
71,M,Coral_Dom,8,16,29.030920454667395,0.7946010542800851,1.06345,0.22404,1.28749,0.03663163218787987,0.00771728889498575,1.884205128,0.255255385,156.8772118,18.22380608
74,E,Rubble_Dom,10,20,58.82649318801252,0.19791966797661428,4.02855,0.40592000000000006,4.43447,0.0684818995922201,0.00690029233408397,1.341516667,0.252444231,111.6934622,18.02310543
76,K,Coral_Dom,7,13,59.802804430488635,0.9330987155436996,2.5924833333333335,0.5677300000000001,3.1602133333333335,0.0433505311003913,0.00949336750025721,1.339901282,0.265222308,111.5589668,18.93538861
78,L,Control,14,27,50.582087140436435,0.5751443177745668,1.1936000000000004,0.2629600000000002,1.4565600000000003,0.02359728646025183,0.00519867832405146,1.422463461,0.285085128,118.433019,20.35348285
80,S,Rubble_Dom,10,20,17.749101652721187,0.5492221629428475,2.335233333333333,0.8901899999999998,3.2254233333333326,0.1315691001934925,0.0501540876577266,1.341516667,0.252444231,111.6934622,18.02310543
85,E,Control,11,21,48.84642270936779,0.4746075293565761,3.688849999999999,0.4335500000000003,4.1224,0.07551934809843927,0.00887577791671615,1.785712179,0.327693461,148.6767782,23.39547942
86,E,Algae_Dom,14,26,43.96486649698723,0.180460459274764,3.0222500000000005,0.16373000000000004,3.1859800000000007,0.06874239001726527,0.00372411002317043,1.422463461,0.285085128,118.433019,20.35348285
90,G,Rubble_Dom,12,23,37.63692325871611,0.7574009119727505,2.1925833333333333,0.21320999999999987,2.405793333333333,0.05825617886421604,0.00566491576708121,1.440459028,0.266772917,119.9313136,19.04609342
92,G,Algae_Dom,1,2,49.46113719537127,0.7371023406920747,6.821133333333335,0.6693399999999996,7.490473333333334,0.13790894668983336,0.01353264477712007,1.71301859,0.236815513,142.6243757,16.90730242
95,L,Coral_Dom,16,31,79.22055025306913,0.10963215948709629,2.416916666666667,0.24897000000000036,2.665886666666667,0.030508708397499,0.00314274514900886,1.313048077,0.260976667,109.3231932,18.6322736
96,N,Rubble_Dom,10,19,69.09584107183535,0.33706341277164464,2.623266666666667,0.2636900000000002,2.8869566666666673,0.03796562319878374,0.00381629336753943,1.341516667,0.252444231,111.6934622,18.02310543
97,V,Algae_Dom,13,26,67.46865566770849,0.22973986729987048,0.3364999999999999,0.05363999999999996,0.3901399999999999,0.00498750118345139,7.950358498672597e-4,1.593027564,0.254822692,132.6340317,18.19291427
100,U,Algae_Dom,5,10,63.38261231956771,0.3829403540141992,2.4698,0.3391799999999998,2.80898,0.03896652267234921,0.00535130988744327,1.499395513,0.269822436,124.8383119,19.26381203
101,U,Coral_Dom,7,13,68.8427233423045,0.5077428419877776,0.6571500000000001,0.0320600000000002,0.6892100000000003,0.0095456711779758,4.656991827830877e-4,1.339901282,0.265222308,111.5589668,18.93538861
102,I,Control,15,30,97.80662353576255,0.36745323272364,5.755550000000001,0.4994799999999997,6.255030000000001,0.05884621911772828,0.00510681160356923,1.694001923,0.283946667,141.0410653,20.27220307
104,G,Control,8,15,98.0597412652934,0.3606160850897101,2.1153166666666667,0.2645000000000002,2.3798166666666667,0.02157171372543502,0.00269733528331182,1.884205128,0.255255385,156.8772118,18.22380608
106,D,Coral_Dom,10,17,50.11201135702201,0.8948912403556132,0.7290833333333334,0.1162200000000003,0.8453033333333337,0.01454907343661915,0.00231920445509733,1.341516667,0.252444231,111.6934622,18.02310543
108,F,Rubble_Dom,12,23,57.560904540358294,0.6214440215219269,0.8254,0.05888000000000013,0.8842800000000002,0.01433959397608868,0.00102291651721844,1.440459028,0.266772917,119.9313136,19.04609342
