TANK_NUM,DATE,TIME,TREATMENT,NPOC_mg_L,TN_mg_L,NPOC_uM,TN_uM,DATETIME
13,20240606,21:00:00,Algae_Dom,1.124266667,0.163315,93.60542405,11.65977711,2024-06-06T21:00:00Z
14,20240606,21:00:00,Algae_Dom,1.139266667,0.149915,94.85431046,10.70309209,2024-06-06T21:00:00Z
15,20240606,21:00:00,Control,1.230266667,0.280125,102.430888,19.99935745,2024-06-06T21:00:00Z
16,20240606,21:00:00,Coral_Dom,1.114266667,0.160315,92.77283311,11.44559389,2024-06-06T21:00:00Z
Inflow1,20240611,12:00:00,Inflow,4.413,0.123,367.43,8.79,2024-06-11T12:00:00Z
Inflow2,20240611,12:00:00,Inflow,1.000266667,0.152775,83.2812964,10.90728009,2024-06-11T12:00:00Z
1,20240611,12:00:00,Algae_Dom,3.586266667,0.202125,298.5893134,14.43059393,2024-06-11T12:00:00Z
2,20240611,12:00:00,Rubble_Dom,5.227,0.141,435.16,10.07,2024-06-11T12:00:00Z
3,20240611,12:00:00,Control,1.009266667,0.176125,84.03062825,12.57433942,2024-06-11T12:00:00Z
4,20240611,12:00:00,Algae_Dom,3.531266667,0.163075,294.0100632,11.64264245,2024-06-11T12:00:00Z
5,20240611,12:00:00,Rubble_Dom,1.766266667,0.311625,147.0577624,22.24828118,2024-06-11T12:00:00Z
6,20240611,12:00:00,Coral_Dom,1.554266667,0.327825,129.4068345,23.40487053,2024-06-11T12:00:00Z
7,20240611,12:00:00,Coral_Dom,1.420266667,0.328425,118.2501159,23.44770717,2024-06-11T12:00:00Z
8,20240611,12:00:00,Control,1.675266667,0.394025,139.4811848,28.13118008,2024-06-11T12:00:00Z
9,20240611,12:00:00,Coral_Dom,2.313266667,0.430825,192.6004868,30.75849415,2024-06-11T12:00:00Z
10,20240611,12:00:00,Rubble_Dom,1.560266667,0.303125,129.906389,21.64142874,2024-06-11T12:00:00Z
11,20240611,12:00:00,Control,2.383266667,0.317825,198.4286234,22.69092649,2024-06-11T12:00:00Z
12,20240611,12:00:00,Rubble_Dom,1.437266667,0.262525,119.6655205,18.74281594,2024-06-11T12:00:00Z
13,20240611,12:00:00,Algae_Dom,1.479266667,0.262825,123.1624024,18.76423426,2024-06-11T12:00:00Z
14,20240611,12:00:00,Algae_Dom,2.062266667,0.334725,171.7024542,23.89749191,2024-06-11T12:00:00Z
15,20240611,12:00:00,Control,1.665,0.266,138.6,18.99,2024-06-11T12:00:00Z
16,20240611,12:00:00,Coral_Dom,1.307266667,0.263725,108.8418382,18.82848922,2024-06-11T12:00:00Z
Inflow1,20240611,21:00:00,Inflow,1.065266667,0.409625,88.69313751,29.24493278,2024-06-11T21:00:00Z
Inflow2,20240611,21:00:00,Inflow,1.312266667,0.422325,109.2581337,30.15164171,2024-06-11T21:00:00Z
1,20240611,21:00:00,Algae_Dom,1.311266667,0.418925,109.1748746,29.90890074,2024-06-11T21:00:00Z
2,20240611,21:00:00,Rubble_Dom,5.511,0.17,458.81,12.17,2024-06-11T21:00:00Z
3,20240611,21:00:00,Control,1.717266667,0.384525,142.9780668,27.45293324,2024-06-11T21:00:00Z
4,20240611,21:00:00,Algae_Dom,1.650266667,0.434025,137.3997075,30.98695624,2024-06-11T21:00:00Z
5,20240611,21:00:00,Rubble_Dom,1.291266667,0.272225,107.5096927,19.43534166,2024-06-11T21:00:00Z
6,20240611,21:00:00,Coral_Dom,0.817466667,0.160155,68.06153402,11.43417079,2024-06-11T21:00:00Z
7,20240611,21:00:00,Coral_Dom,1.081266667,0.380225,90.02528301,27.1459373,2024-06-11T21:00:00Z
8,20240611,21:00:00,Control,5.741,0.214,477.96,15.25,2024-06-11T21:00:00Z
9,20240611,21:00:00,Coral_Dom,0.941566667,0.228025,78.39398758,16.279709,2024-06-11T21:00:00Z
10,20240611,21:00:00,Rubble_Dom,0.906066667,0.194825,75.43828975,13.90941478,2024-06-11T21:00:00Z
11,20240611,21:00:00,Control,2.446608333,0.461575,203.7023931,32.95387208,2024-06-11T21:00:00Z
12,20240611,21:00:00,Rubble_Dom,1.132608333,0.410075,94.29994366,29.27706026,2024-06-11T21:00:00Z
13,20240611,21:00:00,Algae_Dom,1.680608333,0.490175,139.9259272,34.99575203,2024-06-11T21:00:00Z
14,20240611,21:00:00,Algae_Dom,1.096608333,0.463675,91.30261628,33.10380032,2024-06-11T21:00:00Z
15,20240611,21:00:00,Control,2.825608333,0.449375,235.2575898,32.08286035,2024-06-11T21:00:00Z
16,20240611,21:00:00,Coral_Dom,1.318608333,0.374775,109.7861351,26.7568378,2024-06-11T21:00:00Z
Inflow1,20240616,12:00:00,Inflow,1.281608333,0.420775,106.7055487,30.04098039,2024-06-16T12:00:00Z
Inflow2,20240616,12:00:00,Inflow,1.076608333,0.379875,89.6374344,27.12094926,2024-06-16T12:00:00Z
7,20240616,12:00:00,Coral_Dom,1.070608333,0.345775,89.13787983,24.68640008,2024-06-16T12:00:00Z
8,20240616,12:00:00,Control,2.398608333,0.536275,199.7059566,38.28703406,2024-06-16T12:00:00Z
9,20240616,12:00:00,Coral_Dom,1.160608333,0.370875,96.63119829,26.47839962,2024-06-16T12:00:00Z
10,20240616,12:00:00,Rubble_Dom,1.000608333,0.386375,83.30974326,27.58501289,2024-06-16T12:00:00Z
11,20240616,12:00:00,Control,1.823608333,0.303675,151.8319776,21.68069567,2024-06-16T12:00:00Z
12,20240616,12:00:00,Rubble_Dom,1.709608333,0.339075,142.3404409,24.20805757,2024-06-16T12:00:00Z
13,20240616,12:00:00,Algae_Dom,1.113608333,0.350275,92.71802088,25.0076749,2024-06-16T12:00:00Z
14,20240616,12:00:00,Algae_Dom,1.199608333,0.381975,99.87830296,27.27087751,2024-06-16T12:00:00Z
15,20240616,12:00:00,Control,1.086608333,0.415975,90.47002534,29.69828725,2024-06-16T12:00:00Z
16,20240616,12:00:00,Coral_Dom,1.779608333,0.440775,148.1685775,31.46886847,2024-06-16T12:00:00Z
Inflow1,20240616,21:00:00,Inflow,0.940008333,0.274675,78.26424216,19.61025795,2024-06-16T21:00:00Z
Inflow2,20240616,21:00:00,Inflow,0.922808333,0.301675,76.83218575,21.53790686,2024-06-16T21:00:00Z
1,20240616,21:00:00,Algae_Dom,1.431608333,0.223875,119.1944128,15.98342222,2024-06-16T21:00:00Z
2,20240616,21:00:00,Rubble_Dom,2.166608333,0.317075,180.3898468,22.63738068,2024-06-16T21:00:00Z
3,20240616,21:00:00,Control,1.897608333,0.362875,157.9931506,25.90724439,2024-06-16T21:00:00Z
4,20240616,21:00:00,Algae_Dom,1.433608333,0.239575,119.3609309,17.10431436,2024-06-16T21:00:00Z
5,20240616,21:00:00,Rubble_Dom,0.889608333,0.287175,74.06798383,20.502688,2024-06-16T21:00:00Z
6,20240616,21:00:00,Coral_Dom,0.974608333,0.314375,81.14500681,22.44461579,2024-06-16T21:00:00Z
7,20240616,21:00:00,Coral_Dom,0.935008333,0.186075,77.84794669,13.28471374,2024-06-16T21:00:00Z
8,20240616,21:00:00,Control,0.883608333,0.228475,73.56842926,16.31183648,2024-06-16T21:00:00Z
9,20240616,21:00:00,Coral_Dom,1.379608333,0.253875,114.8649399,18.12525434,2024-06-16T21:00:00Z
10,20240616,21:00:00,Rubble_Dom,1.132608333,0.256475,94.29994366,18.31087979,2024-06-16T21:00:00Z
11,20240616,21:00:00,Control,0.848608333,0.229075,70.65436097,16.35467312,2024-06-16T21:00:00Z
12,20240616,21:00:00,Rubble_Dom,0.935908333,0.199675,77.92287988,14.25567764,2024-06-16T21:00:00Z
13,20240616,21:00:00,Algae_Dom,0.922508333,0.237175,76.80720802,16.93296779,2024-06-16T21:00:00Z
14,20240616,21:00:00,Algae_Dom,0.991608333,0.233975,82.56041141,16.7045057,2024-06-16T21:00:00Z
15,20240611,21:00:00,Control,0.958608333,0.262075,79.81286131,18.71068846,2024-06-11T21:00:00Z
16,20240611,21:00:00,Coral_Dom,0.895208333,0.203175,74.53423475,14.50555805,2024-06-11T21:00:00Z
Inflow1,20240620,21:00:00,Inflow,1.474608333,0.515875,122.7745538,36.83058822,2024-06-20T21:00:00Z
Inflow2,20240620,21:00:00,Inflow,1.759608333,0.219575,146.5033956,15.67642628,2024-06-20T21:00:00Z
1,20240620,21:00:00,Algae_Dom,1.775608333,0.398375,147.8355411,28.44174574,2024-06-20T21:00:00Z
2,20240620,21:00:00,Rubble_Dom,2.359608333,0.452175,196.458852,32.28276468,2024-06-20T21:00:00Z
3,20240620,21:00:00,Control,1.157608333,0.556875,96.38142101,39.75775879,2024-06-20T21:00:00Z
4,20240620,21:00:00,Algae_Dom,2.018608333,0.460375,168.0675009,32.86819879,2024-06-20T21:00:00Z
5,20240620,21:00:00,Rubble_Dom,0.907108333,0.461875,75.52501797,32.9752904,2024-06-20T21:00:00Z
