Sample ID,Volume (mL),Burned pan (g),Burned pan + dry residue (g),Dry tissue biomass (g),Burned pan + burned residue (g),AFDW (g/mL)
37_b,1,0.9673,0.9968,0.0295,0.9901,0.0067
106_a,1,0.971,0.9957,0.0247,0.9915,0.0042
106_b,1,0.9714,0.9967,0.0253,0.9919,0.0048
95_a,1,0.9747,1.01,0.0353,0.9993,0.0107
95_b,1,0.9734,1.0104,0.037,0.9994,0.011
19_a,1,0.9747,1.0046,0.0299,0.9961,0.0085
19_b,1,0.9807,1.0099,0.0292,1.0031,0.0068
21_a,1,0.978,1.0027,0.0247,0.9976,0.0051
21_b,1,0.9739,0.9995,0.0256,0.9936,0.0059
25_a,1,0.9636,0.9944,0.0308,0.9865,0.0079
25_b,1,0.9615,0.9927,0.0312,0.985,0.0077
51_a,1,0.9851,1.0082,0.0231,1.0029,0.0053
51_b,1,0.9802,1.0046,0.0244,0.9994,0.0052
202_a,1,0.9626,0.9816,0.019,0.9781,0.0035
202_b,1,0.9589,0.9781,0.0192,0.9744,0.0037
161_a,1,0.9665,1.0091,0.0426,1.0006,0.0085
161_b,1,0.973,1.0149,0.0419,1.0059,0.009
Q_57_a,1,0.9672,1.0073,0.0401,0.9983,0.009
Q_57_b,1,0.9646,1.0064,0.0418,0.9972,0.0092
53_a,1,0.9714,0.9959,0.0245,0.9891,0.0068
53_b,1,0.9717,0.9973,0.0256,0.9902,0.0071
D_55_a,1,0.9612,0.9975,0.0363,0.9894,0.0081
D_55_b,1,0.9642,1.001,0.0368,0.9931,0.0079
50_a,1,0.9663,1.0011,0.0348,0.9929,0.0082
50_b,1,0.9711,1.0082,0.0371,0.9981,0.0101
48_a,1,0.9669,1.0103,0.0434,1.0009,0.0094
48_b,1,0.9696,1.0143,0.0447,1.0048,0.0095
43_a,1,0.9651,0.9897,0.0246,0.9836,0.0061
43_b,1,0.9632,0.989,0.0258,0.9821,0.0069
41_a,1,0.9598,0.9862,0.0264,0.9802,0.006
41_b,1,0.9582,0.9848,0.0266,0.9782,0.0066
46_a,1,0.9824,1.0341,0.0517,1.0198,0.0143
46_b,1,0.9662,1.0202,0.054,1.0053,0.0149
R_35_a,1,0.9778,1.0122,0.0344,1.0037,0.0085
R_35_b,1,0.9823,1.0164,0.0341,1.0073,0.0091
N_22_a,1,0.9674,0.9986,0.0312,0.9915,0.0071
N_22_b,1,0.9634,0.9956,0.0322,0.9889,0.0067
108_a,1,0.9741,1.0008,0.0267,0.9969,0.0039
108_b,1,0.9719,0.9994,0.0275,0.995,0.0044
59_a,1,0.969,1.0042,0.0352,0.9947,0.0095
59_b,1,0.971,1.0071,0.0361,0.9975,0.0096
73_a,1,0.965,0.9958,0.0308,0.9878,0.008
73_b,1,0.9718,1.0034,0.0316,0.996,0.0074
97_a,1,0.959,0.9741,0.0151,0.9719,0.0022
97_b,1,0.9708,0.9861,0.0153,0.9837,0.0024
123_a,1,0.9709,1.0013,0.0304,0.9935,0.0078
123_b,1,0.9681,0.9988,0.0307,0.9914,0.0074
56_a,1,0.9719,0.9907,0.0188,0.9862,0.0045
56_b,1,0.9703,0.9885,0.0182,0.9841,0.0044
136_a,1,0.9707,0.9916,0.0209,0.9876,0.004
136_b,1,0.9681,0.9882,0.0201,0.9849,0.0033
128_a,1,0.9722,0.9934,0.0212,0.9888,0.0046
128_b,1,0.9778,0.9995,0.0217,0.9951,0.0044
113_a,1,0.9663,1.0131,0.0468,1.0016,0.0115
113_b,1,0.9689,1.0173,0.0484,1.0051,0.0122
96_a,1,0.9793,0.9989,0.0196,0.9946,0.0043
96_b,1,0.9774,0.9969,0.0195,0.9938,0.0031
111_a,1,0.9744,0.9932,0.0188,0.9889,0.0043
111_b,1,0.9623,0.9824,0.0201,0.9771,0.0053
162_a,1,0.9741,1.0025,0.0284,0.9946,0.0079
162_b,1,0.9705,0.999,0.0285,0.9914,0.0076
E_34_a,1,0.9639,1.0027,0.0388,,
E_34_b,1,0.9631,1.0014,0.0383,,
14_a,1,0.9644,1.0133,0.0489,,
14_b,1,0.9664,1.0142,0.0478,,
F_31_a,1,0.9711,1.0178,0.0467,,
F_31_b,1,0.9621,1.0074,0.0453,,
6_a,1,0.9665,0.9969,0.0304,,
6_b,1,0.9641,0.9942,0.0301,,
16_a,1,0.9762,1.0283,0.0521,,
16_b,1,0.9613,1.0125,0.0512,,
8_a,1,0.9636,0.9966,0.033,,
8_b,1,0.9723,1.004,0.0317,,
159_a,1,0.9631,0.9871,0.024,,
159_b,1,0.9793,1.003,0.0237,,
W_157_a,1,0.9624,1,0.0376,,
W_157_b,1,0.9721,1.0098,0.0377,,
156_a,1,0.9673,1.0033,0.036,,
156_b,1,0.973,1.0084,0.0354,,
153_a,1,0.9626,0.9927,0.0301,,
153_b,1,0.964,0.9948,0.0308,,
149_a,1,0.9644,0.985,0.0206,,
149_b,1,0.964,0.9847,0.0207,,
H_150_a,1,0.9652,1.0036,0.0384,,
H_150_b,1,0.9694,1.0084,0.039,,
V_144_a,1,0.967,0.9979,0.0309,,
V_144_b,1,0.9649,0.9956,0.0307,,
127_a,1,0.9553,0.9847,0.0294,,
127_b,1,0.9609,0.99,0.0291,,
114_a,1,0.9622,0.9932,0.031,,
114_b,1,0.9672,0.9969,0.0297,,
138_a,1,0.9569,1.0022,0.0453,,
138_b,1,0.9607,1.0052,0.0445,,
102_a,1,0.9676,0.9969,0.0293,,
102_b,1,0.9752,1.0048,0.0296,,
68_a,1,0.9686,1.0033,0.0347,,
68_b,1,0.966,1.0004,0.0344,,
100_a,1,0.9765,1.0059,0.0294,,
100_b,1,0.9659,0.9946,0.0287,,
86_a,1,0.9722,1.0257,0.0535,,
86_b,1,0.9675,1.0209,0.0534,,
G_91_a,1,0.9782,1.0155,0.0373,,
G_91_b,1,0.9812,1.0176,0.0364,,
76_a,1,0.9757,0.9932,0.0175,,
76_b,1,0.9812,0.9987,0.0175,,
78_a,1,0.9697,1.0022,0.0325,,
78_b,1,0.9661,0.9989,0.0328,,
A_82_a,1,0.967,1.0076,0.0406,,
A_82_b,1,0.9743,1.0146,0.0403,,
85_a,1,,,,,
85_b,1,,,,,
U_67_a,1,,,,,
U_67_b,1,,,,,
60_a,1,,,,,
60_b,1,,,,,
74_a,1,,,,,
74_b,1,,,,,
58_a,1,,,,,
58_b,1,,,,,
S_83_a,1,,,,,
S_83_b,1,,,,,
66_a,1,,,,,
66_b,1,,,,,
92_a,1,,,,,
92_b,1,,,,,
80_a,1,,,,,
80_b,1,,,,,
